CrashName,TimeStamp,Weather,RoadwaySurface,RoadwayCondition,Lighting
CR-0000064424,11/1/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000064191,10/30/16,Cloudy,Dry,No Unusual Conditions,Dark - Street Light
CR-0000046685,10/9/13,Clear,Dry,No Unusual Conditions,Daylight
CR-0000052417,10/24/14,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000052403,10/24/14,Clear,Dry,No Unusual Conditions,Daylight
CR-0000047176,10/18/13,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063978,10/28/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000064146,10/15/16,Rain,Wet,No Unusual Conditions,Dark - Street Light
CR-0000068236,7/11/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000068220,7/10/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000052809,11/3/14,Clear,Dry,No Unusual Conditions,Daylight
CR-0000064083,10/22/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000047355,11/29/13,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000057224,9/6/15,Clear,Dry,No Unusual Conditions,Daylight
CR-0000051358,8/19/14,Cloudy,Dry,No Unusual Conditions,Dark - No Street Light
CR-0000057768,9/26/15,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000056175,6/8/15,Clear,Dry,No Unusual Conditions,Daylight
CR-0000064076,10/21/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000068378,7/24/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063951,10/18/16,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000063669,10/3/16,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000068489,7/31/17,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000069747,7/23/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000046142,9/2/13,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000063993,10/26/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000064985,9/23/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000055283,5/13/15,Clear,Dry,No Unusual Conditions,Daylight
CR-0000057395,9/13/15,Clear,Dry,No Unusual Conditions,Daylight
CR-0000046759,11/2/13,Clear,Dry,No Unusual Conditions,Daylight
CR-0000039699,7/19/12,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000039951,8/28/12,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000039572,8/23/12,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000039369,8/13/12,Clear,Dry,No Unusual Conditions,Daylight
CR-0000039297,8/5/12,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000039931,8/27/12,Clear,Dry,No Unusual Conditions,Daylight
CR-0000041596,11/28/12,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000046743,11/1/13,Clear,Dry,No Unusual Conditions,Daylight
CR-0000068486,7/31/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000069706,7/19/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000068462,7/30/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000041227,11/6/12,Clear,Dry,No Unusual Conditions,Daylight
CR-0000032576,6/28/11,Rain,Wet,No Unusual Conditions,Daylight
CR-0000037162,3/10/12,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000057837,10/19/15,Cloudy,Wet,No Unusual Conditions,Dark - Street Light
CR-0000067060,4/26/17,Cloudy,Dry,No Unusual Conditions,Dark - Street Light
CR-0000068602,8/9/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000068723,8/14/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000064248,11/8/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000064418,11/1/16,Cloudy,Wet,No Unusual Conditions,Dusk - Dawn
CR-0000064417,11/1/16,Rain,Wet,No Unusual Conditions,Dusk - Dawn
CR-0000052442,10/25/14,Rain,Wet,No Unusual Conditions,Daylight
